"PAT_ZIP","SITE_ZIP","total_enc_cnt"
"02026","02169","3"
"02030","01742","5"
"02043","02215","2"
"02043","02169","97"
"02043","02026","1"
"02045","02184","258"
"02032","02481","45"
"02032","02215","1"
"02041","02184","2"
"02062","02467","212"
"02062","02481","161"
"02062","02026","38"
"02066","02481","6"
"02045","02138","4"
"02048","02481","26"
"02048","02169","3"
"02050","02138","4"
"02053","01803","9"
"02056","02467","20"
"02056","02026","6"
"02056","02062","26"
"02061","02109","12"
"02072","01960","4"
"02072","02062","7"
"02081","02467","86"
"02093","02481","14"
"02110","02467","15"
"02081","02062","35"
"02090","02481","121"
"02090","02026","38"
"02119","01742","1"
"02114","02215","42"
"02115","02467","40"
"02115","02109","101"
"02115","01742","2"
"02118","02184","50"
"02186","02109","86"
"02302","02169","43"
"02322","02144","1"
"02155","02144","383"
"02322","02481","2"
"02324","02138","1"
"02327","02184","8"
"02148","02144","111"
"02148","01915","16"
"02156","02144","21"
"02163","02215","5"
"02333","02109","10"
"02334","02184","19"
"02338","02467","3"
"02180","02109","55"
"02188","02215","25"
"02149","02155","454"
"02169","02155","3"
"02184","02169","355"
"02189","02481","10"
"02149","02184","6"
"02184","02138","4"
"02189","02215","24"
"02150","01960","1"
"02151","02215","91"
"02169","01803","13"
"02189","02138","1"
"02190","02109","38"
"02152","02155","115"
"02152","02144","8"
"02152","01915","3"
"02155","02467","5"
"02210","02109","142"
"02210","02481","5"
"02215","02109","53"
"02171","02215","28"
"02238","02481","1"
"02269","02215","3"
"02301","02467","33"
"02301","02109","13"
"02135","02467","243"
"02140","02155","46"
"02140","01960","1"
"02141","02215","47"
"02122","02467","45"
"02122","02169","140"
"02122","02184","118"
"02129","02155","60"
"02129","02481","26"
"02130","02467","445"
"02135","02169","4"
"02124","02169","132"
"02124","02184","201"
"02144","02215","28"
"02144","02184","2"
"02144","02481","37"
"02145","01915","3"
"02131","02109","124"
"02131","01915","9"
"02131","02144","7"
"02137","02467","29"
"02138","01742","1"
"02138","02467","8"
"02132","02138","19"
"02127","02138","33"
"02127","01803","2"
"02132","02169","1"
"02140","02481","7"
"02140","01824","29"
"02120","02184","11"
"02128","02467","7"
"02121","02481","2"
"02134","02467","44"
"02472","02155","19"
"02472","01803","15"
"02472","02467","39"
"02492","02026","29"
"02446","02481","51"
"02493","02467","7"
"02347","02109","3"
"02494","02169","1"
"03060","02215","1"
"03063","01742","1"
"03064","02155","2"
"03076","01803","10"
"03079","02138","2"
"02356","02467","4"
"02356","02109","10"
"02356","01803","6"
"02452","02481","137"
"02474","02144","313"
"12188","02215","2"
"21701","02215","5"
"23188","02481","4"
"34987","01915","5"
"38018","02481","3"
"03087","02109","2"
"03101","01824","1"
"03254","01824","4"
"03275","01960","3"
"03455","02138","1"
"03461","01803","3"
"03570","02155","1"
"03813","02215","5"
"03817","01960","4"
"03820","02215","7"
"03820","01824","2"
"03858","01824","3"
"03862","02215","2"
"02368","02109","25"
"03865","02184","7"
"03872","02109","2"
"03907","01803","4"
"05408","02138","1"
"06016","02109","1"
"06107","02109","2"
"06511","01915","3"
"06615","01803","5"
"10038","02109","1"
"02474","02184","2"
"02476","02109","29"
"02476","02215","21"
"02476","02169","14"
"02476","02467","1"
"54701","02215","2"
"60611","02215","1"
"60613","02109","2"
"60614","02138","1"
"63301","02109","4"
"75503","02144","1"
"84107","02481","22"
"85015","02481","3"
"85204","01915","4"
"02459","01824","2"
"02535","02481","2"
"02538","02109","3"
"02556","02184","2"
"02476","01742","3"
"02478","02215","39"
"02563","02481","1"
"02638","02144","5"
"02645","02169","3"
"02648","02481","3"
"02649","02109","3"
"02664","02184","3"
"02667","02169","1"
"02670","02109","1"
"02673","02109","3"
"02702","02184","3"
"02703","02169","5"
"02370","02169","56"
"02370","02481","13"
"02460","02138","26"
"02703","02155","2"
"02703","01803","6"
"02718","02184","8"
"02719","02184","2"
"02720","02138","1"
"02723","02467","3"
"02724","02215","1"
"02726","02109","3"
"02740","02481","3"
"02746","02481","1"
"02760","02169","2"
"02762","02467","3"
"02762","02026","1"
"02762","02062","19"
